LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag Codes
EST;QGDP;TOT;PC_CHGPP;A;2016;3.187819474;
EST;QGDP;TOT;PC_CHGPP;A;2017;5.499151758;
EST;QGDP;TOT;PC_CHGPP;A;2018;4.355465207;
EST;QGDP;TOT;PC_CHGPP;A;2019;4.996442493;
DEU;QGDP;TOT;PC_CHGPY;Q;1961-Q1;7.450289556;E
DEU;QGDP;TOT;PC_CHGPY;Q;1961-Q2;5.00209888;E
DEU;QGDP;TOT;PC_CHGPY;Q;1961-Q3;3.576950295;E
DEU;QGDP;TOT;PC_CHGPY;Q;1961-Q4;2.996160574;E
DEU;QGDP;TOT;PC_CHGPY;Q;1962-Q1;3.466854108;E
DEU;QGDP;TOT;PC_CHGPY;Q;1962-Q2;5.112241186;E
DEU;QGDP;TOT;PC_CHGPY;Q;1962-Q3;5.465212346;E
DEU;QGDP;TOT;PC_CHGPY;Q;1962-Q4;4.759933392;E
DEU;QGDP;TOT;PC_CHGPY;Q;1963-Q1;-0.372460846;E
DEU;QGDP;TOT;PC_CHGPY;Q;1963-Q2;3.02141052;E
DEU;QGDP;TOT;PC_CHGPY;Q;1963-Q3;4.102017033;E
DEU;QGDP;TOT;PC_CHGPY;Q;1963-Q4;4.832455357;E
DEU;QGDP;TOT;PC_CHGPY;Q;1964-Q1;10.127128404;E
DEU;QGDP;TOT;PC_CHGPY;Q;1964-Q2;6.688292601;E
DEU;QGDP;TOT;PC_CHGPY;Q;1964-Q3;4.182533938;E
DEU;QGDP;TOT;PC_CHGPY;Q;1964-Q4;5.091160602;E
DEU;QGDP;TOT;PC_CHGPY;Q;1965-Q1;5.361369982;E
DEU;QGDP;TOT;PC_CHGPY;Q;1965-Q2;5.732236512;E
DEU;QGDP;TOT;PC_CHGPY;Q;1965-Q3;5.341682654;E
DEU;QGDP;TOT;PC_CHGPY;Q;1965-Q4;4.549872774;E
DEU;QGDP;TOT;PC_CHGPY;Q;1966-Q1;4.73437015;E
DEU;QGDP;TOT;PC_CHGPY;Q;1966-Q2;3.424303762;E
DEU;QGDP;TOT;PC_CHGPY;Q;1966-Q3;2.866220447;E
DEU;QGDP;TOT;PC_CHGPY;Q;1966-Q4;0.657536009;E
DEU;QGDP;TOT;PC_CHGPY;Q;1967-Q1;-1.629790537;E
DEU;QGDP;TOT;PC_CHGPY;Q;1967-Q2;-2.237879279;E
DEU;QGDP;TOT;PC_CHGPY;Q;1967-Q3;0;E
DEU;QGDP;TOT;PC_CHGPY;Q;1967-Q4;2.892640581;E
DEU;QGDP;TOT;PC_CHGPY;Q;1968-Q1;4.617508884;E
DEU;QGDP;TOT;PC_CHGPY;Q;1968-Q2;5.761267217;E
DEU;QGDP;TOT;PC_CHGPY;Q;1968-Q3;5.534700242;E
DEU;QGDP;TOT;PC_CHGPY;Q;1968-Q4;5.767579384;E
DEU;QGDP;TOT;PC_CHGPY;Q;1969-Q1;7.174887892;E
DEU;QGDP;TOT;PC_CHGPY;Q;1969-Q2;7.71280633;E
DEU;QGDP;TOT;PC_CHGPY;Q;1969-Q3;7.663339108;E
DEU;QGDP;TOT;PC_CHGPY;Q;1969-Q4;7.692303547;E
DEU;QGDP;TOT;PC_CHGPY;Q;1970-Q1;3.372586353;E
DEU;QGDP;TOT;PC_CHGPY;Q;1970-Q2;6.120867916;E
DEU;QGDP;TOT;PC_CHGPY;Q;1970-Q3;5.82953727;E
DEU;QGDP;TOT;PC_CHGPY;Q;1970-Q4;5.111265622;E
DEU;QGDP;TOT;PC_CHGPY;Q;1971-Q1;4.763644266;E
DEU;QGDP;TOT;PC_CHGPY;Q;1971-Q2;2.872243992;E
DEU;QGDP;TOT;PC_CHGPY;Q;1971-Q3;2.733086207;E
DEU;QGDP;TOT;PC_CHGPY;Q;1971-Q4;1.783876414;E
DEU;QGDP;TOT;PC_CHGPY;Q;1972-Q1;3.882471449;E
DEU;QGDP;TOT;PC_CHGPY;Q;1972-Q2;3.408694186;E
DEU;QGDP;TOT;PC_CHGPY;Q;1972-Q3;4.024253738;E
DEU;QGDP;TOT;PC_CHGPY;Q;1972-Q4;5.729688259;E
DEU;QGDP;TOT;PC_CHGPY;Q;1973-Q1;7.083373504;E
DEU;QGDP;TOT;PC_CHGPY;Q;1973-Q2;6.141301924;E
DEU;QGDP;TOT;PC_CHGPY;Q;1973-Q3;4.058740116;E
DEU;QGDP;TOT;PC_CHGPY;Q;1973-Q4;2.721523921;E
DEU;QGDP;TOT;PC_CHGPY;Q;1974-Q1;2.177398816;E
DEU;QGDP;TOT;PC_CHGPY;Q;1974-Q2;1.349933281;E
DEU;QGDP;TOT;PC_CHGPY;Q;1974-Q3;1.018885974;E
DEU;QGDP;TOT;PC_CHGPY;Q;1974-Q4;-0.504300806;E
DEU;QGDP;TOT;PC_CHGPY;Q;1975-Q1;-1.907951274;E
DEU;QGDP;TOT;PC_CHGPY;Q;1975-Q2;-2.325179236;E
DEU;QGDP;TOT;PC_CHGPY;Q;1975-Q3;-1.262668305;E
DEU;QGDP;TOT;PC_CHGPY;Q;1975-Q4;1.965095402;E
DEU;QGDP;TOT;PC_CHGPY;Q;1976-Q1;3.478330696;E
DEU;QGDP;TOT;PC_CHGPY;Q;1976-Q2;5.545306249;E
DEU;QGDP;TOT;PC_CHGPY;Q;1976-Q3;4.440716158;E
DEU;QGDP;TOT;PC_CHGPY;Q;1976-Q4;4.324485654;E
DEU;QGDP;TOT;PC_CHGPY;Q;1977-Q1;4.278412874;E
DEU;QGDP;TOT;PC_CHGPY;Q;1977-Q2;3.334567951;E
DEU;QGDP;TOT;PC_CHGPY;Q;1977-Q3;3.273852452;E
DEU;QGDP;TOT;PC_CHGPY;Q;1977-Q4;3.141081054;E
DEU;QGDP;TOT;PC_CHGPY;Q;1978-Q1;2.689233198;E
DEU;QGDP;TOT;PC_CHGPY;Q;1978-Q2;2.515066682;E
DEU;QGDP;TOT;PC_CHGPY;Q;1978-Q3;3.889417618;E
DEU;QGDP;TOT;PC_CHGPY;Q;1978-Q4;3.326126341;E
DEU;QGDP;TOT;PC_CHGPY;Q;1979-Q1;3.029295309;E
DEU;QGDP;TOT;PC_CHGPY;Q;1979-Q2;5.809207278;E
DEU;QGDP;TOT;PC_CHGPY;Q;1979-Q3;4.439655589;E
DEU;QGDP;TOT;PC_CHGPY;Q;1979-Q4;3.865566592;E
DEU;QGDP;TOT;PC_CHGPY;Q;1980-Q1;4.568469121;E
DEU;QGDP;TOT;PC_CHGPY;Q;1980-Q2;0.76620879;E
DEU;QGDP;TOT;PC_CHGPY;Q;1980-Q3;0.366439143;E
DEU;QGDP;TOT;PC_CHGPY;Q;1980-Q4;-0.377486719;E
DEU;QGDP;TOT;PC_CHGPY;Q;1981-Q1;0.006600282;E
DEU;QGDP;TOT;PC_CHGPY;Q;1981-Q2;0.403350474;E
DEU;QGDP;TOT;PC_CHGPY;Q;1981-Q3;1.068809572;E
DEU;QGDP;TOT;PC_CHGPY;Q;1981-Q4;1.123386978;E
DEU;QGDP;TOT;PC_CHGPY;Q;1982-Q1;0.308726571;E
DEU;QGDP;TOT;PC_CHGPY;Q;1982-Q2;-0.059283061;E
DEU;QGDP;TOT;PC_CHGPY;Q;1982-Q3;-1.307091516;E
DEU;QGDP;TOT;PC_CHGPY;Q;1982-Q4;-0.992585298;E
DEU;QGDP;TOT;PC_CHGPY;Q;1983-Q1;-0.468227457;E
DEU;QGDP;TOT;PC_CHGPY;Q;1983-Q2;1.202617374;E
DEU;QGDP;TOT;PC_CHGPY;Q;1983-Q3;1.999914709;E
DEU;QGDP;TOT;PC_CHGPY;Q;1983-Q4;3.16368421;E
DEU;QGDP;TOT;PC_CHGPY;Q;1984-Q1;3.589300546;E
DEU;QGDP;TOT;PC_CHGPY;Q;1984-Q2;0.895351673;E
DEU;QGDP;TOT;PC_CHGPY;Q;1984-Q3;3.859431868;E
DEU;QGDP;TOT;PC_CHGPY;Q;1984-Q4;3.304747767;E
DEU;QGDP;TOT;PC_CHGPY;Q;1985-Q1;1.400567503;E
DEU;QGDP;TOT;PC_CHGPY;Q;1985-Q2;4.055948585;E
DEU;QGDP;TOT;PC_CHGPY;Q;1985-Q3;2.616635647;E
DEU;QGDP;TOT;PC_CHGPY;Q;1985-Q4;2.370542268;E
DEU;QGDP;TOT;PC_CHGPY;Q;1986-Q1;2.342772922;E
DEU;QGDP;TOT;PC_CHGPY;Q;1986-Q2;2.493179711;E
DEU;QGDP;TOT;PC_CHGPY;Q;1986-Q3;1.922379197;E
DEU;QGDP;TOT;PC_CHGPY;Q;1986-Q4;2.32473051;E
DEU;QGDP;TOT;PC_CHGPY;Q;1987-Q1;0.330519523;E
DEU;QGDP;TOT;PC_CHGPY;Q;1987-Q2;1.415955776;E
DEU;QGDP;TOT;PC_CHGPY;Q;1987-Q3;1.369526997;E
DEU;QGDP;TOT;PC_CHGPY;Q;1987-Q4;1.974541695;E
DEU;QGDP;TOT;PC_CHGPY;Q;1988-Q1;3.651100816;E
DEU;QGDP;TOT;PC_CHGPY;Q;1988-Q2;3.212995673;E
DEU;QGDP;TOT;PC_CHGPY;Q;1988-Q3;3.664990184;E
DEU;QGDP;TOT;PC_CHGPY;Q;1988-Q4;3.234051974;E
DEU;QGDP;TOT;PC_CHGPY;Q;1989-Q1;5.267745076;E
DEU;QGDP;TOT;PC_CHGPY;Q;1989-Q2;3.809604476;E
DEU;QGDP;TOT;PC_CHGPY;Q;1989-Q3;3.583956124;E
DEU;QGDP;TOT;PC_CHGPY;Q;1989-Q4;3.564769341;E
DEU;QGDP;TOT;PC_CHGPY;Q;1990-Q1;4.621030767;E
DEU;QGDP;TOT;PC_CHGPY;Q;1990-Q2;4.713886981;E
DEU;QGDP;TOT;PC_CHGPY;Q;1990-Q3;5.951496332;E
DEU;QGDP;TOT;PC_CHGPY;Q;1990-Q4;6.581615193;E
DEU;QGDP;TOT;PC_CHGPY;Q;1991-Q1;7.366678037;
DEU;QGDP;TOT;PC_CHGPY;Q;1991-Q2;6.275775495;
DEU;QGDP;TOT;PC_CHGPY;Q;1991-Q3;3.870779628;
DEU;QGDP;TOT;PC_CHGPY;Q;1991-Q4;3.399853023;
DEU;QGDP;TOT;PC_CHGPY;Q;1992-Q1;2.07341678;
DEU;QGDP;TOT;PC_CHGPY;Q;1992-Q2;1.825192984;
DEU;QGDP;TOT;PC_CHGPY;Q;1992-Q3;1.856296373;
DEU;QGDP;TOT;PC_CHGPY;Q;1992-Q4;0.239622357;
DEU;QGDP;TOT;PC_CHGPY;Q;1993-Q1;-1.974790703;
DEU;QGDP;TOT;PC_CHGPY;Q;1993-Q2;-1.239669517;
DEU;QGDP;TOT;PC_CHGPY;Q;1993-Q3;-0.476587378;
DEU;QGDP;TOT;PC_CHGPY;Q;1993-Q4;-0.262611663;
DEU;QGDP;TOT;PC_CHGPY;Q;1994-Q1;1.882323643;
DEU;QGDP;TOT;PC_CHGPY;Q;1994-Q2;2.154234442;
DEU;QGDP;TOT;PC_CHGPY;Q;1994-Q3;2.276315603;
DEU;QGDP;TOT;PC_CHGPY;Q;1994-Q4;3.561176898;
DEU;QGDP;TOT;PC_CHGPY;Q;1995-Q1;1.784283553;
DEU;QGDP;TOT;PC_CHGPY;Q;1995-Q2;2.298089185;
DEU;QGDP;TOT;PC_CHGPY;Q;1995-Q3;1.767348474;
DEU;QGDP;TOT;PC_CHGPY;Q;1995-Q4;0.612778513;
DEU;QGDP;TOT;PC_CHGPY;Q;1996-Q1;0.130824157;
DEU;QGDP;TOT;PC_CHGPY;Q;1996-Q2;0.740164209;
DEU;QGDP;TOT;PC_CHGPY;Q;1996-Q3;0.894247338;
DEU;QGDP;TOT;PC_CHGPY;Q;1996-Q4;1.632757607;
DEU;QGDP;TOT;PC_CHGPY;Q;1997-Q1;1.923788355;
DEU;QGDP;TOT;PC_CHGPY;Q;1997-Q2;1.846474698;
DEU;QGDP;TOT;PC_CHGPY;Q;1997-Q3;1.840084296;
DEU;QGDP;TOT;PC_CHGPY;Q;1997-Q4;1.839253099;
DEU;QGDP;TOT;PC_CHGPY;Q;1998-Q1;3.326426515;
DEU;QGDP;TOT;PC_CHGPY;Q;1998-Q2;1.5883681;
DEU;QGDP;TOT;PC_CHGPY;Q;1998-Q3;1.746901112;
DEU;QGDP;TOT;PC_CHGPY;Q;1998-Q4;0.544587888;
DEU;QGDP;TOT;PC_CHGPY;Q;1999-Q1;0.781593986;
DEU;QGDP;TOT;PC_CHGPY;Q;1999-Q2;1.208477821;
DEU;QGDP;TOT;PC_CHGPY;Q;1999-Q3;1.871876771;
DEU;QGDP;TOT;PC_CHGPY;Q;1999-Q4;3.12544193;
DEU;QGDP;TOT;PC_CHGPY;Q;2000-Q1;3.400497086;
DEU;QGDP;TOT;PC_CHGPY;Q;2000-Q2;4.249858119;
DEU;QGDP;TOT;PC_CHGPY;Q;2000-Q3;3.033084412;
DEU;QGDP;TOT;PC_CHGPY;Q;2000-Q4;1.910867937;
DEU;QGDP;TOT;PC_CHGPY;Q;2001-Q1;2.500004013;
DEU;QGDP;TOT;PC_CHGPY;Q;2001-Q2;1.617658728;
DEU;QGDP;TOT;PC_CHGPY;Q;2001-Q3;1.464504835;
DEU;QGDP;TOT;PC_CHGPY;Q;2001-Q4;1.682466178;
DEU;QGDP;TOT;PC_CHGPY;Q;2002-Q1;-0.850739251;
DEU;QGDP;TOT;PC_CHGPY;Q;2002-Q2;-0.386345763;
DEU;QGDP;TOT;PC_CHGPY;Q;2002-Q3;0.299717911;
DEU;QGDP;TOT;PC_CHGPY;Q;2002-Q4;0.265085117;
DEU;QGDP;TOT;PC_CHGPY;Q;2003-Q1;-0.711642815;
DEU;QGDP;TOT;PC_CHGPY;Q;2003-Q2;-1.011938378;
DEU;QGDP;TOT;PC_CHGPY;Q;2003-Q3;-0.763034498;
DEU;QGDP;TOT;PC_CHGPY;Q;2003-Q4;-0.357358332;
DEU;QGDP;TOT;PC_CHGPY;Q;2004-Q1;0.979234915;
DEU;QGDP;TOT;PC_CHGPY;Q;2004-Q2;1.37874206;
DEU;QGDP;TOT;PC_CHGPY;Q;2004-Q3;0.409310785;
DEU;QGDP;TOT;PC_CHGPY;Q;2004-Q4;0.034990505;
DEU;QGDP;TOT;PC_CHGPY;Q;2005-Q1;0.210301694;
DEU;QGDP;TOT;PC_CHGPY;Q;2005-Q2;0.232475515;
DEU;QGDP;TOT;PC_CHGPY;Q;2005-Q3;1.281149955;
DEU;QGDP;TOT;PC_CHGPY;Q;2005-Q4;1.877110965;
DEU;QGDP;TOT;PC_CHGPY;Q;2006-Q1;2.856477808;
DEU;QGDP;TOT;PC_CHGPY;Q;2006-Q2;4.070510922;
DEU;QGDP;TOT;PC_CHGPY;Q;2006-Q3;4.001843708;
DEU;QGDP;TOT;PC_CHGPY;Q;2006-Q4;5.058361456;
DEU;QGDP;TOT;PC_CHGPY;Q;2007-Q1;4.134578619;
DEU;QGDP;TOT;PC_CHGPY;Q;2007-Q2;3.228783698;
DEU;QGDP;TOT;PC_CHGPY;Q;2007-Q3;2.949457871;
DEU;QGDP;TOT;PC_CHGPY;Q;2007-Q4;2.099653903;
DEU;QGDP;TOT;PC_CHGPY;Q;2008-Q1;2.669576725;
DEU;QGDP;TOT;PC_CHGPY;Q;2008-Q2;1.557135868;
DEU;QGDP;TOT;PC_CHGPY;Q;2008-Q3;0.410829039;
DEU;QGDP;TOT;PC_CHGPY;Q;2008-Q4;-1.853757632;
DEU;QGDP;TOT;PC_CHGPY;Q;2009-Q1;-7.029257431;
DEU;QGDP;TOT;PC_CHGPY;Q;2009-Q2;-6.643277803;
DEU;QGDP;TOT;PC_CHGPY;Q;2009-Q3;-5.540702074;
DEU;QGDP;TOT;PC_CHGPY;Q;2009-Q4;-3.293834467;
DEU;QGDP;TOT;PC_CHGPY;Q;2010-Q1;2.292164803;
DEU;QGDP;TOT;PC_CHGPY;Q;2010-Q2;4.406232905;
DEU;QGDP;TOT;PC_CHGPY;Q;2010-Q3;4.699354917;
DEU;QGDP;TOT;PC_CHGPY;Q;2010-Q4;4.754951551;
DEU;QGDP;TOT;PC_CHGPY;Q;2011-Q1;5.930875485;
DEU;QGDP;TOT;PC_CHGPY;Q;2011-Q2;3.707745602;
DEU;QGDP;TOT;PC_CHGPY;Q;2011-Q3;3.752979747;
DEU;QGDP;TOT;PC_CHGPY;Q;2011-Q4;2.618301204;
DEU;QGDP;TOT;PC_CHGPY;Q;2012-Q1;0.860345845;
DEU;QGDP;TOT;PC_CHGPY;Q;2012-Q2;0.985803107;
DEU;QGDP;TOT;PC_CHGPY;Q;2012-Q3;0.383081775;
DEU;QGDP;TOT;PC_CHGPY;Q;2012-Q4;0.258811539;
DEU;QGDP;TOT;PC_CHGPY;Q;2013-Q1;-0.414763699;
DEU;QGDP;TOT;PC_CHGPY;Q;2013-Q2;0.439929207;
DEU;QGDP;TOT;PC_CHGPY;Q;2013-Q3;0.708743968;
DEU;QGDP;TOT;PC_CHGPY;Q;2013-Q4;1.473235717;
DEU;QGDP;TOT;PC_CHGPY;Q;2014-Q1;2.912830205;
DEU;QGDP;TOT;PC_CHGPY;Q;2014-Q2;1.834960783;
DEU;QGDP;TOT;PC_CHGPY;Q;2014-Q3;1.783873195;
DEU;QGDP;TOT;PC_CHGPY;Q;2014-Q4;2.302400578;
DEU;QGDP;TOT;PC_CHGPY;Q;2015-Q1;0.822155354;
DEU;QGDP;TOT;PC_CHGPY;Q;2015-Q2;1.534668144;
DEU;QGDP;TOT;PC_CHGPY;Q;2015-Q3;1.476540334;
DEU;QGDP;TOT;PC_CHGPY;Q;2015-Q4;1.112702413;
DEU;QGDP;TOT;PC_CHGPY;Q;2016-Q1;2.506850752;
DEU;QGDP;TOT;PC_CHGPY;Q;2016-Q2;2.178215066;
DEU;QGDP;TOT;PC_CHGPY;Q;2016-Q3;1.989178981;
DEU;QGDP;TOT;PC_CHGPY;Q;2016-Q4;1.900404722;
DEU;QGDP;TOT;PC_CHGPY;Q;2017-Q1;2.265787301;
DEU;QGDP;TOT;PC_CHGPY;Q;2017-Q2;2.531644108;
DEU;QGDP;TOT;PC_CHGPY;Q;2017-Q3;3.181282569;
DEU;QGDP;TOT;PC_CHGPY;Q;2017-Q4;3.646997244;
DEU;QGDP;TOT;PC_CHGPY;Q;2018-Q1;2.177057175;
DEU;QGDP;TOT;PC_CHGPY;Q;2018-Q2;1.990624149;
DEU;QGDP;TOT;PC_CHGPY;Q;2018-Q3;0.768424965;
DEU;QGDP;TOT;PC_CHGPY;Q;2018-Q4;0.272843387;
DEU;QGDP;TOT;PC_CHGPY;Q;2019-Q1;1.095978615;
DEU;QGDP;TOT;PC_CHGPY;Q;2019-Q2;0.11493705;
DEU;QGDP;TOT;PC_CHGPY;Q;2019-Q3;0.755513226;
DEU;QGDP;TOT;PC_CHGPY;Q;2019-Q4;0.396416753;
DEU;QGDP;TOT;PC_CHGPY;Q;2020-Q1;-2.228856548;P
DEU;QGDP;TOT;PC_CHGPY;Q;2020-Q2;-11.256910522;P
ESP;QGDP;TOT;PC_CHGPP;A;1961;11.838687;E
ESP;QGDP;TOT;PC_CHGPP;A;1962;9.953427;E
ESP;QGDP;TOT;PC_CHGPP;A;1963;9.59649;E
ESP;QGDP;TOT;PC_CHGPP;A;1964;5.308523;E
ESP;QGDP;TOT;PC_CHGPP;A;1965;6.253125;E
ESP;QGDP;TOT;PC_CHGPP;A;1966;7.245787;E
ESP;QGDP;TOT;PC_CHGPP;A;1967;4.340636;E
ESP;QGDP;TOT;PC_CHGPP;A;1968;6.596746;E
ESP;QGDP;TOT;PC_CHGPP;A;1969;8.907184;E
ESP;QGDP;TOT;PC_CHGPP;A;1970;4.176674;E
ESP;QGDP;TOT;PC_CHGPP;A;1971;4.646594;E
ESP;QGDP;TOT;PC_CHGPP;A;1972;8.149118;E
ESP;QGDP;TOT;PC_CHGPP;A;1973;7.795262;E
ESP;QGDP;TOT;PC_CHGPP;A;1974;5.616675;E
ESP;QGDP;TOT;PC_CHGPP;A;1975;0.541825;E
ESP;QGDP;TOT;PC_CHGPP;A;1976;3.30418;E
ESP;QGDP;TOT;PC_CHGPP;A;1977;2.839303;E
ESP;QGDP;TOT;PC_CHGPP;A;1978;1.463347;E
ESP;QGDP;TOT;PC_CHGPP;A;1979;0.043292;E
ESP;QGDP;TOT;PC_CHGPP;A;1980;1.298189;E
ESP;QGDP;TOT;PC_CHGPP;A;1981;-0.132139;E
ESP;QGDP;TOT;PC_CHGPP;A;1982;1.244804;E
ESP;QGDP;TOT;PC_CHGPP;A;1983;1.771103;E
ESP;QGDP;TOT;PC_CHGPP;A;1984;1.784043;E
ESP;QGDP;TOT;PC_CHGPP;A;1985;2.320815;E
ESP;QGDP;TOT;PC_CHGPP;A;1986;3.253658;E
ESP;QGDP;TOT;PC_CHGPP;A;1987;5.547453;E
ESP;QGDP;TOT;PC_CHGPP;A;1988;5.093494;E
ESP;QGDP;TOT;PC_CHGPP;A;1989;4.827618;E
ESP;QGDP;TOT;PC_CHGPP;A;1990;3.783712;E
ESP;QGDP;TOT;PC_CHGPP;A;1991;2.543741;E
ESP;QGDP;TOT;PC_CHGPP;A;1992;0.9309;E
ESP;QGDP;TOT;PC_CHGPP;A;1993;-1.032669;E
ESP;QGDP;TOT;PC_CHGPP;A;1994;2.382955;E
ESP;QGDP;TOT;PC_CHGPP;A;1995;2.757266;
ESP;QGDP;TOT;PC_CHGPP;A;1996;2.660385;
ESP;QGDP;TOT;PC_CHGPP;A;1997;3.702721;
ESP;QGDP;TOT;PC_CHGPP;A;1998;4.393037;
ESP;QGDP;TOT;PC_CHGPP;A;1999;4.490617;
ESP;QGDP;TOT;PC_CHGPP;A;2000;5.245868;
ESP;QGDP;TOT;PC_CHGPP;A;2001;3.932949;
ESP;QGDP;TOT;PC_CHGPP;A;2002;2.730912;
ESP;QGDP;TOT;PC_CHGPP;A;2003;2.982005;
ESP;QGDP;TOT;PC_CHGPP;A;2004;3.122795;
ESP;QGDP;TOT;PC_CHGPP;A;2005;3.652033;
ESP;QGDP;TOT;PC_CHGPP;A;2006;4.102727;
ESP;QGDP;TOT;PC_CHGPP;A;2007;3.604781;
ESP;QGDP;TOT;PC_CHGPP;A;2008;0.886964;
ESP;QGDP;TOT;PC_CHGPP;A;2009;-3.763146;
ESP;QGDP;TOT;PC_CHGPP;A;2010;0.16301;
ESP;QGDP;TOT;PC_CHGPP;A;2011;-0.814373;
